Designator,Footprint,Quantity,Value,LCSC Part #
A2,Arduino_Mega2560_R3_Shield,1,Arduino_Mega2560_R3_Shield,
J1,IDC-Header_2x03_P2.54mm_Vertical,1,Chamber 1,
J10,IDC-Header_2x03_P2.54mm_Vertical,1,Chamber 10,
J2,IDC-Header_2x03_P2.54mm_Vertical,1,Chamber 2,
J3,IDC-Header_2x03_P2.54mm_Vertical,1,Chamber 3,
J4,IDC-Header_2x03_P2.54mm_Vertical,1,Chamber 4,
J5,IDC-Header_2x03_P2.54mm_Vertical,1,Chamber 5,
J6,IDC-Header_2x03_P2.54mm_Vertical,1,Chamber 6,
J7,IDC-Header_2x03_P2.54mm_Vertical,1,Chamber 7,
J8,IDC-Header_2x03_P2.54mm_Vertical,1,Chamber 8,
J9,IDC-Header_2x03_P2.54mm_Vertical,1,Chamber 9,
